sample	locus	read_count	molecule_count
T21-0-3_S3_R1_001	chr21_32476741	4104	719
T21-0-3_S3_R1_001	chr21_32848925	1424	270
T21-0-3_S3_R1_001	chr21_32881012	4573	857
T21-0-3_S3_R1_001	chr21_33024001	3540	545
T21-0-3_S3_R1_001	chr21_33047975	3322	501
T21-0-3_S3_R1_001	chr21_33127293	3344	551
T21-0-3_S3_R1_001	chr21_33533637	4182	634
T21-0-3_S3_R1_001	chr21_33550726	3660	568
T21-0-3_S3_R1_001	chr21_33588250	3442	545
T21-0-3_S3_R1_001	chr21_33880709	3753	549
T21-0-3_S3_R1_001	chr21_33915819	3188	635
T21-0-3_S3_R1_001	chr21_34074498	3619	723
T21-0-3_S3_R1_001	chr21_34761453	3821	629
T21-0-3_S3_R1_001	chr21_35048563	3817	543
T21-0-3_S3_R1_001	chr2_135073864	3791	626
T21-0-3_S3_R1_001	chr21_35205270	3566	538
T21-0-3_S3_R1_001	chr2_135789621	3176	502
T21-0-3_S3_R1_001	chr21_36278065	3763	568
T21-0-3_S3_R1_001	chr21_36460959	3570	553
T21-0-3_S3_R1_001	chr21_36708786	3304	501
T21-0-3_S3_R1_001	chr21_36756660	3771	579
T21-0-3_S3_R1_001	chr21_36881369	3345	515
T21-0-3_S3_R1_001	chr21_37006742	3729	618
T21-0-3_S3_R1_001	chr21_38567086	3609	1018
T21-0-3_S3_R1_001	chr21_38759623	3559	498
T21-0-3_S3_R1_001	chr21_39062244	2786	422
T21-0-3_S3_R1_001	chr21_39444854	3678	763
T21-0-3_S3_R1_001	chr21_40016085	3292	531
T21-0-3_S3_R1_001	chr21_40178954	3485	546
T21-0-3_S3_R1_001	chr21_40426887	3675	586
T21-0-3_S3_R1_001	chr21_40995931	3236	533
T21-0-3_S3_R1_001	chr21_41225949	3110	524
T21-0-3_S3_R1_001	chr21_41506859	2996	475
T21-0-3_S3_R1_001	chr21_41724413	4876	826
T21-0-3_S3_R1_001	chr21_41768876	3170	466
T21-0-3_S3_R1_001	chr21_41943683	3105	458
T21-0-3_S3_R1_001	chr21_42090223	3609	586
T21-0-3_S3_R1_001	chr21_42138015	3850	629
T21-0-3_S3_R1_001	chr21_42219346	3527	604
T21-0-3_S3_R1_001	chr21_42254610	3682	765
T21-0-3_S3_R1_001	chr21_42344471	3644	615
T21-0-3_S3_R1_001	chr21_42360636	3064	511
T21-0-3_S3_R1_001	chr21_42658507	3885	669
T21-0-3_S3_R1_001	chr21_43273281	3661	611
T21-0-3_S3_R1_001	chr21_43303475	3382	611
T21-0-3_S3_R1_001	chr21_43319469	4138	702
T21-0-3_S3_R1_001	chr21_43770202	3251	609
T21-0-3_S3_R1_001	chr21_43812691	2950	629
T21-0-3_S3_R1_001	chr21_43856906	3817	582
T21-0-3_S3_R1_001	chr21_43957875	3423	608
T21-0-3_S3_R1_001	chr21_43982821	3170	640
T21-0-3_S3_R1_001	chr21_44326763	3225	636
T21-0-3_S3_R1_001	chr21_44504844	3495	576
T21-0-3_S3_R1_001	chr21_44527351	3164	527
T21-0-3_S3_R1_001	chr21_44664502	3300	474
T21-0-3_S3_R1_001	chr21_44708346	3292	513
T21-0-3_S3_R1_001	chr21_44711236	3439	580
T21-0-3_S3_R1_001	chr21_44771421	3289	506
T21-0-3_S3_R1_001	chr21_44855283	3634	579
T21-0-3_S3_R1_001	chr21_45027814	3578	539
T21-0-3_S3_R1_001	chr21_45056373	3601	592
T21-0-3_S3_R1_001	chr2_145245523	3391	489
T21-0-3_S3_R1_001	chr21_45254594	1745	261
T21-0-3_S3_R1_001	chr21_45282802	3512	653
T21-0-3_S3_R1_001	chr21_45828339	3142	521
T21-0-3_S3_R1_001	chr21_45982832	3691	698
T21-0-3_S3_R1_001	chr21_46125933	3251	602
T21-0-3_S3_R1_001	chr21_46126070	241	38
T21-0-3_S3_R1_001	chr21_46370078	3703	575
T21-0-3_S3_R1_001	chr21_46377989	2974	568
T21-0-3_S3_R1_001	chr21_46415136	3009	480
T21-0-3_S3_R1_001	chr21_46667540	2832	495
T21-0-3_S3_R1_001	chr2_152334950	3569	582
T21-0-3_S3_R1_001	chr2_15474108	3653	862
T21-0-3_S3_R1_001	chr2_158212563	3654	607
T21-0-3_S3_R1_001	chr2_163017782	3517	571
T21-0-3_S3_R1_001	chr2_167231349	3152	487
T21-0-3_S3_R1_001	chr2_17124032	3541	594
T21-0-3_S3_R1_001	chr2_176099389	2979	560
T21-0-3_S3_R1_001	chr2_177249947	3346	505
T21-0-3_S3_R1_001	chr2_178250714	2907	504
T21-0-3_S3_R1_001	chr2_17931415	3606	582
T21-0-3_S3_R1_001	chr2_190246811	3520	510
T21-0-3_S3_R1_001	chr2_190952120	2985	530
T21-0-3_S3_R1_001	chr2_19240391	3455	520
T21-0-3_S3_R1_001	chr2_197051977	3274	509
T21-0-3_S3_R1_001	chr2_198064874	3111	468
T21-0-3_S3_R1_001	chr2_199463719	3419	611
T21-0-3_S3_R1_001	chr2_202868115	3721	538
T21-0-3_S3_R1_001	chr2_20646683	2890	520
T21-0-3_S3_R1_001	chr2_21608302	3139	599
T21-0-3_S3_R1_001	chr2_216848171	3748	576
T21-0-3_S3_R1_001	chr2_218819411	3708	583
T21-0-3_S3_R1_001	chr2_223957413	4217	714
T21-0-3_S3_R1_001	chr2_225082160	3730	575
T21-0-3_S3_R1_001	chr2_227759997	3424	577
T21-0-3_S3_R1_001	chr2_230722965	3819	572
T21-0-3_S3_R1_001	chr2_232372794	320	53
T21-0-3_S3_R1_001	chr2_233308485	3841	530
T21-0-3_S3_R1_001	chr2_23401307	3119	772
T21-0-3_S3_R1_001	chr2_235577831	2947	467
T21-0-3_S3_R1_001	chr2_237660339	2884	432
T21-0-3_S3_R1_001	chr2_238789650	3134	483
T21-0-3_S3_R1_001	chr2_239581665	3734	646
T21-0-3_S3_R1_001	chr2_240800370	3800	660
T21-0-3_S3_R1_001	chr2_24425782	3942	867
T21-0-3_S3_R1_001	chr2_24739837	3311	492
T21-0-3_S3_R1_001	chr2_2795811	3094	573
T21-0-3_S3_R1_001	chr2_30766193	3891	655
T21-0-3_S3_R1_001	chr2_31198935	3750	586
T21-0-3_S3_R1_001	chr2_3323538	3003	484
T21-0-3_S3_R1_001	chr2_39665236	2849	452
T21-0-3_S3_R1_001	chr2_42844903	3512	520
T21-0-3_S3_R1_001	chr2_46512548	3418	594
T21-0-3_S3_R1_001	chr2_47653669	3426	499
T21-0-3_S3_R1_001	chr2_59344696	3086	592
T21-0-3_S3_R1_001	chr2_68077544	3412	569
T21-0-3_S3_R1_001	chr2_70411829	4096	667
T21-0-3_S3_R1_001	chr2_71830719	3247	501
T21-0-3_S3_R1_001	chr2_78404591	3643	532
T21-0-3_S3_R1_001	chr2_82461489	3133	435
T21-0-3_S3_R1_001	chr2_88350766	3707	591
T21-0-3_S3_R1_001	chr2_94878207	3540	552
T21-0-3_S3_R1_001	chr2_96661714	3379	495
T21-0-3_S3_R1_001	chr3_10115503	2956	487
T21-0-3_S3_R1_001	chr3_102471124	3720	548
T21-0-3_S3_R1_001	chr3_108590104	3240	539
T21-0-3_S3_R1_001	chr3_115933119	3214	567
T21-0-3_S3_R1_001	chr3_11643325	4129	633
T21-0-3_S3_R1_001	chr3_123028610	3638	605
T21-0-3_S3_R1_001	chr3_126158628	3540	569
T21-0-3_S3_R1_001	chr3_128496786	3566	664
T21-0-3_S3_R1_001	chr3_129975369	3305	636
T21-0-3_S3_R1_001	chr3_13021664	3781	583
T21-0-3_S3_R1_001	chr3_132904228	3163	501
T21-0-3_S3_R1_001	chr3_135013488	3106	496
T21-0-3_S3_R1_001	chr3_138920203	3916	575
T21-0-3_S3_R1_001	chr3_139536560	4354	616
T21-0-3_S3_R1_001	chr3_141077108	3707	580
T21-0-3_S3_R1_001	chr3_142579019	3102	490
T21-0-3_S3_R1_001	chr3_14401969	3517	515
T21-0-3_S3_R1_001	chr3_14729485	3104	498
T21-0-3_S3_R1_001	chr3_147405373	3184	787
T21-0-3_S3_R1_001	chr3_150409527	3701	688
T21-0-3_S3_R1_001	chr3_15332827	3308	487
T21-0-3_S3_R1_001	chr3_155744602	3577	580
T21-0-3_S3_R1_001	chr3_158103833	3678	576
T21-0-3_S3_R1_001	chr3_16878779	3528	608
T21-0-3_S3_R1_001	chr3_169661783	3084	495
T21-0-3_S3_R1_001	chr3_171977552	3152	628
T21-0-3_S3_R1_001	chr3_178480430	3104	544
T21-0-3_S3_R1_001	chr3_182242046	3212	531
T21-0-3_S3_R1_001	chr3_184260793	3330	482
T21-0-3_S3_R1_001	chr3_186000600	3809	576
T21-0-3_S3_R1_001	chr3_188214075	3605	558
T21-0-3_S3_R1_001	chr3_194304458	3528	583
T21-0-3_S3_R1_001	chr3_195867678	1685	262
T21-0-3_S3_R1_001	chr3_20111719	4197	572
T21-0-3_S3_R1_001	chr3_24182831	3709	572
T21-0-3_S3_R1_001	chr3_25782941	3243	566
T21-0-3_S3_R1_001	chr3_27720641	4043	615
T21-0-3_S3_R1_001	chr3_3027789	3501	520
T21-0-3_S3_R1_001	chr3_32238102	3213	481
T21-0-3_S3_R1_001	chr3_32384446	3360	617
T21-0-3_S3_R1_001	chr3_3731695	1959	294
T21-0-3_S3_R1_001	chr3_40453126	3900	605
T21-0-3_S3_R1_001	chr3_43290099	3899	576
T21-0-3_S3_R1_001	chr3_45046133	3547	579
T21-0-3_S3_R1_001	chr3_46488803	3429	532
T21-0-3_S3_R1_001	chr3_47282335	3761	562
T21-0-3_S3_R1_001	chr3_4867857	3354	588
T21-0-3_S3_R1_001	chr3_49014085	3439	572
T21-0-3_S3_R1_001	chr3_50337481	3823	615
T21-0-3_S3_R1_001	chr3_53098154	3611	584
T21-0-3_S3_R1_001	chr3_53515458	3334	538
T21-0-3_S3_R1_001	chr3_56683639	3419	632
T21-0-3_S3_R1_001	chr3_58042820	3544	600
T21-0-3_S3_R1_001	chr3_60912347	3685	574
T21-0-3_S3_R1_001	chr3_67380028	3217	535
T21-0-3_S3_R1_001	chr3_7146517	3732	583
T21-0-3_S3_R1_001	chr3_72848124	3332	531
T21-0-3_S3_R1_001	chr3_84958783	2978	556
T21-0-3_S3_R1_001	chr3_86345977	3718	601
T21-0-3_S3_R1_001	chr3_99795987	3683	595
T21-0-3_S3_R1_001	unmatched	461870	40986
T21-100-1_S10_R1_001	chr2_100955305	3555	480
T21-100-1_S10_R1_001	chr2_101085535	4145	525
T21-100-1_S10_R1_001	chr2_102305387	2531	293
T21-100-1_S10_R1_001	chr2_103792960	3441	442
T21-100-1_S10_R1_001	chr2_104792858	3447	448
T21-100-1_S10_R1_001	chr2_108565153	3539	457
T21-100-1_S10_R1_001	chr2_112647051	4033	615
T21-100-1_S10_R1_001	chr2_11406302	4060	483
T21-100-1_S10_R1_001	chr21_14788887	6304	712
T21-100-1_S10_R1_001	chr21_14853307	4943	577
T21-100-1_S10_R1_001	chr2_115162453	4045	580
T21-100-1_S10_R1_001	chr2_115162508	0	0
T21-100-1_S10_R1_001	chr21_15494467	5762	916
T21-100-1_S10_R1_001	chr21_15967507	4657	578
T21-100-1_S10_R1_001	chr21_16486166	6425	885
T21-100-1_S10_R1_001	chr2_118224692	3817	541
T21-100-1_S10_R1_001	chr21_18477249	5597	673
T21-100-1_S10_R1_001	chr21_18745264	5733	698
T21-100-1_S10_R1_001	chr21_20262845	4656	558
T21-100-1_S10_R1_001	chr2_120868127	4107	686
T21-100-1_S10_R1_001	chr21_21027729	4536	518
T21-100-1_S10_R1_001	chr21_23049826	6409	827
T21-100-1_S10_R1_001	chr21_24075508	5433	661
T21-100-1_S10_R1_001	chr21_24738544	5577	674
T21-100-1_S10_R1_001	chr21_24844831	6333	841
T21-100-1_S10_R1_001	chr2_125311103	4123	538
T21-100-1_S10_R1_001	chr21_25447962	5551	626
T21-100-1_S10_R1_001	chr21_25930186	5094	681
T21-100-1_S10_R1_001	chr21_26206777	6109	806
T21-100-1_S10_R1_001	chr21_26381471	5784	642
T21-100-1_S10_R1_001	chr21_26966048	6231	727
T21-100-1_S10_R1_001	chr21_27008952	4481	615
T21-100-1_S10_R1_001	chr21_28545265	4742	605
T21-100-1_S10_R1_001	chr21_29073899	6303	844
T21-100-1_S10_R1_001	chr21_29121792	6533	778
T21-100-1_S10_R1_001	chr21_29364391	3069	384
T21-100-1_S10_R1_001	chr21_31120259	5618	808
T21-100-1_S10_R1_001	chr21_31423663	6095	707
T21-100-1_S10_R1_001	chr21_31657263	5895	719
T21-100-1_S10_R1_001	chr21_31658073	23	6
T21-100-1_S10_R1_001	chr21_31779400	6056	805
T21-100-1_S10_R1_001	chr21_31956365	5442	674
T21-100-1_S10_R1_001	chr21_32338779	6172	789
T21-100-1_S10_R1_001	chr21_32476741	6451	911
T21-100-1_S10_R1_001	chr21_32848925	2446	345
T21-100-1_S10_R1_001	chr21_32881012	6970	1003
T21-100-1_S10_R1_001	chr21_33024001	6373	775
T21-100-1_S10_R1_001	chr21_33047975	5842	721
T21-100-1_S10_R1_001	chr21_33127293	5815	767
T21-100-1_S10_R1_001	chr21_33533637	7305	875
T21-100-1_S10_R1_001	chr21_33550726	5895	763
T21-100-1_S10_R1_001	chr21_33588250	5923	751
T21-100-1_S10_R1_001	chr21_33880709	6079	721
T21-100-1_S10_R1_001	chr21_33915819	5861	900
T21-100-1_S10_R1_001	chr21_34074498	6201	873
T21-100-1_S10_R1_001	chr21_34761453	6125	799
T21-100-1_S10_R1_001	chr21_35048563	7125	790
T21-100-1_S10_R1_001	chr2_135073864	4626	603
T21-100-1_S10_R1_001	chr21_35205270	6385	742
T21-100-1_S10_R1_001	chr2_135789621	3751	511
T21-100-1_S10_R1_001	chr21_36278065	6710	785
T21-100-1_S10_R1_001	chr21_36460959	6069	777
T21-100-1_S10_R1_001	chr21_36708786	6079	738
T21-100-1_S10_R1_001	chr21_36756660	6147	764
T21-100-1_S10_R1_001	chr21_36881369	5179	654
T21-100-1_S10_R1_001	chr21_37006742	6314	828
T21-100-1_S10_R1_001	chr21_38567086	5499	1282
T21-100-1_S10_R1_001	chr21_38759623	5907	652
T21-100-1_S10_R1_001	chr21_39062244	5203	641
T21-100-1_S10_R1_001	chr21_39444854	5988	936
T21-100-1_S10_R1_001	chr21_40016085	6084	750
T21-100-1_S10_R1_001	chr21_40178954	6534	801
T21-100-1_S10_R1_001	chr21_40426887	6297	769
T21-100-1_S10_R1_001	chr21_40995931	5214	685
T21-100-1_S10_R1_001	chr21_41225949	5695	743
T21-100-1_S10_R1_001	chr21_41506859	4534	598
T21-100-1_S10_R1_001	chr21_41724413	7224	943
T21-100-1_S10_R1_001	chr21_41768876	5365	627
T21-100-1_S10_R1_001	chr21_41943683	5458	649
T21-100-1_S10_R1_001	chr21_42090223	5797	733
T21-100-1_S10_R1_001	chr21_42138015	6732	860
T21-100-1_S10_R1_001	chr21_42219346	6502	860
T21-100-1_S10_R1_001	chr21_42254610	5631	875
T21-100-1_S10_R1_001	chr21_42344471	5764	781
T21-100-1_S10_R1_001	chr21_42360636	5285	676
T21-100-1_S10_R1_001	chr21_42658507	6824	956
T21-100-1_S10_R1_001	chr21_43273281	6518	839
T21-100-1_S10_R1_001	chr21_43303475	5989	874
T21-100-1_S10_R1_001	chr21_43319469	6549	828
T21-100-1_S10_R1_001	chr21_43770202	5926	857
T21-100-1_S10_R1_001	chr21_43812691	4924	752
T21-100-1_S10_R1_001	chr21_43856906	6341	754
T21-100-1_S10_R1_001	chr21_43957875	5833	793
T21-100-1_S10_R1_001	chr21_43982821	4964	825
T21-100-1_S10_R1_001	chr21_44326763	5497	797
T21-100-1_S10_R1_001	chr21_44504844	6341	768
T21-100-1_S10_R1_001	chr21_44527351	5473	739
T21-100-1_S10_R1_001	chr21_44664502	5878	690
T21-100-1_S10_R1_001	chr21_44708346	5218	654
T21-100-1_S10_R1_001	chr21_44711236	5588	731
T21-100-1_S10_R1_001	chr21_44771421	5971	729
T21-100-1_S10_R1_001	chr21_44855283	5839	732
T21-100-1_S10_R1_001	chr21_45027814	6002	748
T21-100-1_S10_R1_001	chr21_45056373	6055	765
T21-100-1_S10_R1_001	chr2_145245523	4082	467
T21-100-1_S10_R1_001	chr21_45254594	2708	319
T21-100-1_S10_R1_001	chr21_45282802	5763	814
T21-100-1_S10_R1_001	chr21_45828339	5145	721
T21-100-1_S10_R1_001	chr21_45982832	6175	894
T21-100-1_S10_R1_001	chr21_46125933	5487	774
T21-100-1_S10_R1_001	chr21_46126070	364	41
T21-100-1_S10_R1_001	chr21_46370078	6044	731
T21-100-1_S10_R1_001	chr21_46377989	5146	771
T21-100-1_S10_R1_001	chr21_46415136	4928	622
T21-100-1_S10_R1_001	chr21_46667540	5207	706
T21-100-1_S10_R1_001	chr2_152334950	3754	477
T21-100-1_S10_R1_001	chr2_15474108	3979	617
T21-100-1_S10_R1_001	chr2_158212563	4442	572
T21-100-1_S10_R1_001	chr2_163017782	4401	578
T21-100-1_S10_R1_001	chr2_167231349	3759	457
T21-100-1_S10_R1_001	chr2_17124032	4269	563
T21-100-1_S10_R1_001	chr2_176099389	3829	537
T21-100-1_S10_R1_001	chr2_177249947	3838	477
T21-100-1_S10_R1_001	chr2_178250714	3348	420
T21-100-1_S10_R1_001	chr2_17931415	4057	505
T21-100-1_S10_R1_001	chr2_190246811	4402	498
T21-100-1_S10_R1_001	chr2_190952120	3221	443
T21-100-1_S10_R1_001	chr2_19240391	3826	473
T21-100-1_S10_R1_001	chr2_197051977	4041	483
T21-100-1_S10_R1_001	chr2_198064874	3717	441
T21-100-1_S10_R1_001	chr2_199463719	3837	533
T21-100-1_S10_R1_001	chr2_202868115	4123	476
T21-100-1_S10_R1_001	chr2_20646683	3116	438
T21-100-1_S10_R1_001	chr2_21608302	3544	527
T21-100-1_S10_R1_001	chr2_216848171	3815	479
T21-100-1_S10_R1_001	chr2_218819411	3612	442
T21-100-1_S10_R1_001	chr2_223957413	4834	636
T21-100-1_S10_R1_001	chr2_225082160	4750	571
T21-100-1_S10_R1_001	chr2_227759997	3790	504
T21-100-1_S10_R1_001	chr2_230722965	4074	455
T21-100-1_S10_R1_001	chr2_232372794	272	32
T21-100-1_S10_R1_001	chr2_233308485	4268	485
T21-100-1_S10_R1_001	chr2_23401307	3326	588
T21-100-1_S10_R1_001	chr2_235577831	3882	466
T21-100-1_S10_R1_001	chr2_237660339	3587	434
T21-100-1_S10_R1_001	chr2_238789650	3753	439
T21-100-1_S10_R1_001	chr2_239581665	3774	512
T21-100-1_S10_R1_001	chr2_240800370	4096	547
T21-100-1_S10_R1_001	chr2_24425782	4666	725
T21-100-1_S10_R1_001	chr2_24739837	4190	509
T21-100-1_S10_R1_001	chr2_2795811	3625	513
T21-100-1_S10_R1_001	chr2_30766193	4952	658
T21-100-1_S10_R1_001	chr2_31198935	4682	576
T21-100-1_S10_R1_001	chr2_3323538	3633	484
T21-100-1_S10_R1_001	chr2_39665236	3743	455
T21-100-1_S10_R1_001	chr2_42844903	3953	467
T21-100-1_S10_R1_001	chr2_46512548	3893	534
T21-100-1_S10_R1_001	chr2_47653669	3347	412
T21-100-1_S10_R1_001	chr2_59344696	3594	528
T21-100-1_S10_R1_001	chr2_68077544	3818	518
T21-100-1_S10_R1_001	chr2_70411829	4484	600
T21-100-1_S10_R1_001	chr2_71830719	3851	465
T21-100-1_S10_R1_001	chr2_78404591	4020	462
T21-100-1_S10_R1_001	chr2_82461489	3515	420
T21-100-1_S10_R1_001	chr2_88350766	4226	547
T21-100-1_S10_R1_001	chr2_94878207	3665	472
T21-100-1_S10_R1_001	chr2_96661714	3860	431
T21-100-1_S10_R1_001	chr3_10115503	3356	453
T21-100-1_S10_R1_001	chr3_102471124	3962	485
T21-100-1_S10_R1_001	chr3_108590104	3572	478
T21-100-1_S10_R1_001	chr3_115933119	3776	485
T21-100-1_S10_R1_001	chr3_11643325	4646	580
T21-100-1_S10_R1_001	chr3_123028610	4048	534
T21-100-1_S10_R1_001	chr3_126158628	4476	552
T21-100-1_S10_R1_001	chr3_128496786	4360	593
T21-100-1_S10_R1_001	chr3_129975369	4234	542
T21-100-1_S10_R1_001	chr3_13021664	4737	567
T21-100-1_S10_R1_001	chr3_132904228	3986	494
T21-100-1_S10_R1_001	chr3_135013488	4134	529
T21-100-1_S10_R1_001	chr3_138920203	4423	566
T21-100-1_S10_R1_001	chr3_139536560	4617	551
T21-100-1_S10_R1_001	chr3_141077108	4286	537
T21-100-1_S10_R1_001	chr3_142579019	4064	528
T21-100-1_S10_R1_001	chr3_14401969	4144	478
T21-100-1_S10_R1_001	chr3_14729485	3968	509
T21-100-1_S10_R1_001	chr3_147405373	3427	592
T21-100-1_S10_R1_001	chr3_150409527	3987	605
T21-100-1_S10_R1_001	chr3_15332827	3308	394
T21-100-1_S10_R1_001	chr3_155744602	3892	548
T21-100-1_S10_R1_001	chr3_158103833	3754	478
T21-100-1_S10_R1_001	chr3_16878779	3950	518
T21-100-1_S10_R1_001	chr3_169661783	3619	458
T21-100-1_S10_R1_001	chr3_171977552	3677	541
T21-100-1_S10_R1_001	chr3_178480430	3688	499
T21-100-1_S10_R1_001	chr3_182242046	4093	515
T21-100-1_S10_R1_001	chr3_184260793	4062	501
T21-100-1_S10_R1_001	chr3_186000600	3935	468
T21-100-1_S10_R1_001	chr3_188214075	4277	518
T21-100-1_S10_R1_001	chr3_194304458	3957	501
T21-100-1_S10_R1_001	chr3_195867678	2050	261
T21-100-1_S10_R1_001	chr3_20111719	4255	497
T21-100-1_S10_R1_001	chr3_24182831	4201	495
T21-100-1_S10_R1_001	chr3_25782941	4282	576
T21-100-1_S10_R1_001	chr3_27720641	4633	589
T21-100-1_S10_R1_001	chr3_3027789	4235	530
T21-100-1_S10_R1_001	chr3_32238102	3674	460
T21-100-1_S10_R1_001	chr3_32384446	4609	628
T21-100-1_S10_R1_001	chr3_3731695	1884	243
T21-100-1_S10_R1_001	chr3_40453126	4677	567
T21-100-1_S10_R1_001	chr3_43290099	4304	528
T21-100-1_S10_R1_001	chr3_45046133	3776	480
T21-100-1_S10_R1_001	chr3_46488803	3907	474
T21-100-1_S10_R1_001	chr3_47282335	4199	559
T21-100-1_S10_R1_001	chr3_4867857	3907	538
T21-100-1_S10_R1_001	chr3_49014085	3986	550
T21-100-1_S10_R1_001	chr3_50337481	4418	537
T21-100-1_S10_R1_001	chr3_53098154	4453	550
T21-100-1_S10_R1_001	chr3_53515458	3640	468
T21-100-1_S10_R1_001	chr3_56683639	4446	596
T21-100-1_S10_R1_001	chr3_58042820	4460	576
T21-100-1_S10_R1_001	chr3_60912347	3916	503
T21-100-1_S10_R1_001	chr3_67380028	3558	461
T21-100-1_S10_R1_001	chr3_7146517	4462	519
T21-100-1_S10_R1_001	chr3_72848124	4270	543
T21-100-1_S10_R1_001	chr3_84958783	3155	443
T21-100-1_S10_R1_001	chr3_86345977	4592	607
T21-100-1_S10_R1_001	chr3_99795987	4118	504
T21-100-1_S10_R1_001	unmatched	518644	38261
T21-100-2_S11_R1_001	chr2_100955305	3751	535
T21-100-2_S11_R1_001	chr2_101085535	3183	433
T21-100-2_S11_R1_001	chr2_102305387	2878	380
T21-100-2_S11_R1_001	chr2_103792960	4270	574
T21-100-2_S11_R1_001	chr2_104792858	3533	457
T21-100-2_S11_R1_001	chr2_108565153	3595	512
T21-100-2_S11_R1_001	chr2_112647051	3918	621
T21-100-2_S11_R1_001	chr2_11406302	4837	586
T21-100-2_S11_R1_001	chr21_14788887	5988	744
T21-100-2_S11_R1_001	chr21_14853307	5594	713
T21-100-2_S11_R1_001	chr2_115162453	3662	535
T21-100-2_S11_R1_001	chr2_115162508	0	0
T21-100-2_S11_R1_001	chr21_15494467	6221	1055
T21-100-2_S11_R1_001	chr21_15967507	5210	715
T21-100-2_S11_R1_001	chr21_16486166	7007	1015
T21-100-2_S11_R1_001	chr2_118224692	3936	626
T21-100-2_S11_R1_001	chr21_18477249	6310	778
T21-100-2_S11_R1_001	chr21_18745264	5794	712
T21-100-2_S11_R1_001	chr21_20262845	4510	569
T21-100-2_S11_R1_001	chr2_120868127	3580	649
T21-100-2_S11_R1_001	chr21_21027729	4551	567
T21-100-2_S11_R1_001	chr21_23049826	5984	773
T21-100-2_S11_R1_001	chr21_24075508	5872	720
T21-100-2_S11_R1_001	chr21_24738544	6203	771
T21-100-2_S11_R1_001	chr21_24844831	6625	968
T21-100-2_S11_R1_001	chr2_125311103	3805	504
T21-100-2_S11_R1_001	chr21_25447962	5150	626
T21-100-2_S11_R1_001	chr21_25930186	5306	753
T21-100-2_S11_R1_001	chr21_26206777	6906	944
T21-100-2_S11_R1_001	chr21_26381471	6108	736
T21-100-2_S11_R1_001	chr21_26966048	6622	785
T21-100-2_S11_R1_001	chr21_27008952	4372	628
T21-100-2_S11_R1_001	chr21_28545265	5403	702
T21-100-2_S11_R1_001	chr21_29073899	6296	915
T21-100-2_S11_R1_001	chr21_29121792	6676	819
T21-100-2_S11_R1_001	chr21_29364391	3027	391
T21-100-2_S11_R1_001	chr21_31120259	5360	824
T21-100-2_S11_R1_001	chr21_31423663	7016	854
T21-100-2_S11_R1_001	chr21_31657263	5908	748
T21-100-2_S11_R1_001	chr21_31658073	8	1
T21-100-2_S11_R1_001	chr21_31779400	6949	975
T21-100-2_S11_R1_001	chr21_31956365	6044	761
T21-100-2_S11_R1_001	chr21_32338779	5588	740
T21-100-2_S11_R1_001	chr21_32476741	6649	912
T21-100-2_S11_R1_001	chr21_32848925	2387	366
T21-100-2_S11_R1_001	chr21_32881012	7051	1051
T21-100-2_S11_R1_001	chr21_33024001	5780	745
T21-100-2_S11_R1_001	chr21_33047975	6308	761
T21-100-2_S11_R1_001	chr21_33127293	5900	768
T21-100-2_S11_R1_001	chr21_33533637	6632	868
T21-100-2_S11_R1_001	chr21_33550726	5746	778
T21-100-2_S11_R1_001	chr21_33588250	5967	774
T21-100-2_S11_R1_001	chr21_33880709	6419	788
T21-100-2_S11_R1_001	chr21_33915819	5474	847
T21-100-2_S11_R1_001	chr21_34074498	5931	957
T21-100-2_S11_R1_001	chr21_34761453	5802	834
T21-100-2_S11_R1_001	chr21_35048563	7038	815
T21-100-2_S11_R1_001	chr2_135073864	4134	566
T21-100-2_S11_R1_001	chr21_35205270	6255	777
T21-100-2_S11_R1_001	chr2_135789621	3859	551
T21-100-2_S11_R1_001	chr21_36278065	6809	852
T21-100-2_S11_R1_001	chr21_36460959	5599	763
T21-100-2_S11_R1_001	chr21_36708786	5618	707
T21-100-2_S11_R1_001	chr21_36756660	6714	875
T21-100-2_S11_R1_001	chr21_36881369	5642	697
T21-100-2_S11_R1_001	chr21_37006742	6501	880
T21-100-2_S11_R1_001	chr21_38567086	5458	1388
T21-100-2_S11_R1_001	chr21_38759623	6703	771
T21-100-2_S11_R1_001	chr21_39062244	5054	661
T21-100-2_S11_R1_001	chr21_39444854	6427	1053
T21-100-2_S11_R1_001	chr21_40016085	6808	879
T21-100-2_S11_R1_001	chr21_40178954	6243	801
T21-100-2_S11_R1_001	chr21_40426887	6555	881
T21-100-2_S11_R1_001	chr21_40995931	5093	696
T21-100-2_S11_R1_001	chr21_41225949	5924	768
T21-100-2_S11_R1_001	chr21_41506859	5019	682
T21-100-2_S11_R1_001	chr21_41724413	7008	948
T21-100-2_S11_R1_001	chr21_41768876	5148	632
T21-100-2_S11_R1_001	chr21_41943683	5349	683
T21-100-2_S11_R1_001	chr21_42090223	5791	770
T21-100-2_S11_R1_001	chr21_42138015	6475	865
T21-100-2_S11_R1_001	chr21_42219346	6255	874
T21-100-2_S11_R1_001	chr21_42254610	6057	1034
T21-100-2_S11_R1_001	chr21_42344471	6040	853
T21-100-2_S11_R1_001	chr21_42360636	5369	734
T21-100-2_S11_R1_001	chr21_42658507	7096	1011
